IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2021,true,,,,,,,,,,,,,30,,,22,,82,30 [22 – 82],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2021,true,,,,,,,,,,,,,31,,,22,,42,31 [22 – 42],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2021,true,,,,,,,,,,,,,31,,,29,,32,31 [29 – 32],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2021,true,,,,,,,,,,,,,31,,,30,,33,31 [30 – 33],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,GMB,Gambia,Year,2021,true,,,,,,,,,,,,,33,,,27,,43,33 [27 – 43],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,MRT,Mauritania,Year,2021,true,,,,,,,,,,,,,38,,,32,,46,38 [32 – 46],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2021,true,,,,,,,,,,,,,38,,,32,,73,38 [32 – 73],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2021,true,,,,,,,,,,,,,38,,,34,,42,38 [34 – 42],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,LVA,Latvia,Year,2021,true,,,,,,,,,,,,,39,,,26,,51,39 [26 – 51],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2021,true,,,,,,,,,,,,,40,,,37,,45,40 [37 – 45],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,AGO,Angola,Year,2021,true,,,,,,,,,,,,,41,,,34,,49,41 [34 – 49],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2021,true,,,,,,,,,,,,,41,,,37,,44,41 [37 – 44],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2021,true,,,,,,,,,,,,,41,,,38,,44,41 [38 – 44],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2021,true,,,,,,,,,,,,,41,,,40,,44,41 [40 – 44],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2021,true,,,,,,,,,,,,,42,,,12,,98,42 [12 – 98],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2021,true,,,,,,,,,,,,,45,,,29,,90,45 [29 – 90],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2021,true,,,,,,,,,,,,,45,,,41,,50,45 [41 – 50],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,JAM,Jamaica,Year,2021,true,,,,,,,,,,,,,47,,,45,,52,47 [45 – 52],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2021,true,,,,,,,,,,,,,48,,,40,,58,48 [40 – 58],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,BLZ,Belize,Year,2021,true,,,,,,,,,,,,,48,,,44,,52,48 [44 – 52],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2021,true,,,,,,,,,,,,,50,,,44,,57,50 [44 – 57],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2021,true,,,,,,,,,,,,,50,,,47,,55,50 [47 – 55],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2021,true,,,,,,,,,,,,,51,,,48,,55,51 [48 – 55],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,GIN,Guinea,Year,2021,true,,,,,,,,,,,,,52,,,45,,60,52 [45 – 60],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2021,true,,,,,,,,,,,,,53,,,43,,67,53 [43 – 67],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,MLI,Mali,Year,2021,true,,,,,,,,,,,,,53,,,44,,68,53 [44 – 68],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,ALB,Albania,Year,2021,true,,,,,,,,,,,,,53,,,45,,62,53 [45 – 62],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,GAB,Gabon,Year,2021,true,,,,,,,,,,,,,54,,,46,,69,54 [46 – 69],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2021,true,,,,,,,,,,,,,55,,,40,,71,55 [40 – 71],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2021,true,,,,,,,,,,,,,55,,,45,,66,55 [45 – 66],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2021,true,,,,,,,,,,,,,55,,,50,,59,55 [50 – 59],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2021,true,,,,,,,,,,,,,56,,,48,,68,56 [48 – 68],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,HND,Honduras,Year,2021,true,,,,,,,,,,,,,56,,,51,,63,56 [51 – 63],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,MNE,Montenegro,Year,2021,true,,,,,,,,,,,,,58,,,44,,87,58 [44 – 87],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2021,true,,,,,,,,,,,,,58,,,46,,69,58 [46 – 69],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2021,true,,,,,,,,,,,,,58,,,51,,65,58 [51 – 65],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2021,true,,,,,,,,,,,,,59,,,55,,64,59 [55 – 64],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2021,true,,,,,,,,,,,,,60,,,51,,67,60 [51 – 67],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,BRB,Barbados,Year,2021,true,,,,,,,,,,,,,60,,,54,,67,60 [54 – 67],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,COM,Comoros,Year,2021,true,,,,,,,,,,,,,61,,,31,,100,61 [31 – 100],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2021,true,,,,,,,,,,,,,61,,,49,,78,61 [49 – 78],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,LBR,Liberia,Year,2021,true,,,,,,,,,,,,,61,,,50,,76,61 [50 – 76],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,MEX,Mexico,Year,2021,true,,,,,,,,,,,,,61,,,54,,68,61 [54 – 68],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2021,true,,,,,,,,,,,,,61,,,58,,63,61 [58 – 63],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,UKR,Ukraine,Year,2021,true,,,,,,,,,,,,,62,,,55,,71,62 [55 – 71],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2021,true,,,,,,,,,,,,,63,,,56,,69,63 [56 – 69],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,GUY,Guyana,Year,2021,true,,,,,,,,,,,,,63,,,57,,71,63 [57 – 71],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,SRB,Serbia,Year,2021,true,,,,,,,,,,,,,64,,,48,,81,64 [48 – 81],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2021,true,,,,,,,,,,,,,64,,,57,,71,64 [57 – 71],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,SEAR,South-East Asia,Country,IND,India,Year,2021,true,,,,,,,,,,,,,65,,,54,,79,65 [54 – 79],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2021,true,,,,,,,,,,,,,65,,,58,,71,65 [58 – 71],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2021,true,,,,,,,,,,,,,65,,,59,,73,65 [59 – 73],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2021,true,,,,,,,,,,,,,65,,,60,,71,65 [60 – 71],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2021,true,,,,,,,,,,,,,65,,,60,,72,65 [60 – 72],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,ROU,Romania,Year,2021,true,,,,,,,,,,,,,66,,,57,,77,66 [57 – 77],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2021,true,,,,,,,,,,,,,66,,,58,,75,66 [58 – 75],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2021,true,,,,,,,,,,,,,66,,,59,,72,66 [59 – 72],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,true,,,,,,,,,,,,,66,,,60,,73,66 [60 – 73],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2021,true,,,,,,,,,,,,,66,,,60,,75,66 [60 – 75],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2021,true,,,,,,,,,,,,,67,,,57,,82,67 [57 – 82],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,BHS,Bahamas,Year,2021,true,,,,,,,,,,,,,68,,,59,,79,68 [59 – 79],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,CHL,Chile,Year,2021,true,,,,,,,,,,,,,68,,,61,,74,68 [61 – 74],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,BLR,Belarus,Year,2021,true,,,,,,,,,,,,,70,,,53,,94,70 [53 – 94],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,GRC,Greece,Year,2021,true,,,,,,,,,,,,,70,,,64,,75,70 [64 – 75],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2021,true,,,,,,,,,,,,,70,,,65,,74,70 [65 – 74],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2021,true,,,,,,,,,,,,,71,,,56,,97,71 [56 – 97],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,GEO,Georgia,Year,2021,true,,,,,,,,,,,,,71,,,67,,75,71 [67 – 75],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,GHA,Ghana,Year,2021,true,,,,,,,,,,,,,71,,,68,,77,71 [68 – 77],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,CUB,Cuba,Year,2021,true,,,,,,,,,,,,,72,,,63,,80,72 [63 – 80],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2021,true,,,,,,,,,,,,,72,,,65,,78,72 [65 – 78],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2021,true,,,,,,,,,,,,,72,,,66,,78,72 [66 – 78],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2021,true,,,,,,,,,,,,,72,,,66,,79,72 [66 – 79],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,BRA,Brazil,Year,2021,true,,,,,,,,,,,,,73,,,35,,100,73 [35 – 100],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2021,true,,,,,,,,,,,,,73,,,65,,82,73 [65 – 82],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,COL,Colombia,Year,2021,true,,,,,,,,,,,,,74,,,59,,93,74 [59 – 93],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2021,true,,,,,,,,,,,,,74,,,65,,84,74 [65 – 84],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,ZAF,South Africa,Year,2021,true,,,,,,,,,,,,,74,,,68,,80,74 [68 – 80],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,TCD,Chad,Year,2021,true,,,,,,,,,,,,,75,,,60,,91,75 [60 – 91],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,LUX,Luxembourg,Year,2021,true,,,,,,,,,,,,,76,,,66,,85,76 [66 – 85],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2021,true,,,,,,,,,,,,,76,,,68,,86,76 [68 – 86],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,TGO,Togo,Year,2021,true,,,,,,,,,,,,,76,,,73,,80,76 [73 – 80],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EUR,Europe,Country,HRV,Croatia,Year,2021,true,,,,,,,,,,,,,77,,,64,,91,77 [64 – 91],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,true,,,,,,,,,,,,,78,,,71,,90,78 [71 – 90],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2021,true,,,,,,,,,,,,,78,,,73,,84,78 [73 – 84],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2021,true,,,,,,,,,,,,,78,,,75,,82,78 [75 – 82],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2021,true,,,,,,,,,,,,,79,,,71,,87,79 [71 – 87],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,PER,Peru,Year,2021,true,,,,,,,,,,,,,80,,,70,,93,80 [70 – 93],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2021,true,,,,,,,,,,,,,80,,,72,,90,80 [72 – 90],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2021,true,,,,,,,,,,,,,81,,,71,,92,81 [71 – 92],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,NER,Niger,Year,2021,true,,,,,,,,,,,,,81,,,72,,90,81 [72 – 90],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,LSO,Lesotho,Year,2021,true,,,,,,,,,,,,,81,,,77,,87,81 [77 – 87],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2021,true,,,,,,,,,,,,,82,,,67,,98,82 [67 – 98],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,DZA,Algeria,Year,2021,true,,,,,,,,,,,,,82,,,75,,89,82 [75 – 89],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,UGA,Uganda,Year,2021,true,,,,,,,,,,,,,82,,,78,,90,82 [78 – 90],,,EN,2022-09-18T17:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,BEN,Benin,Year,2021,true,,,,,,,,,,,,,84,,,69,,99,84 [69 – 99],,,EN,2022-09-18T17:00:00.000Z
